title,text,label
"City opens new hospital wing","The city health department opened a new hospital wing on Monday after two years of construction. Officials said the unit adds emergency beds and a public clinic for residents.",real
"Scientists publish climate findings","A peer reviewed research team reported that coastal flood risks are rising. The paper describes measured sea level changes and recommends stronger planning for vulnerable regions.",real
"Election office announces voting hours","The state election office confirmed polling locations will open at 7 a.m. and close at 8 p.m. Voters can check registration status on the official website.",real
"Company reports quarterly profit","A manufacturing company reported a modest quarterly profit in a filing with regulators. Executives said demand improved while supply costs remained a concern.",real
"School district approves lunch program","The school board voted to expand its free lunch program after reviewing enrollment data and budget projections. The policy begins next semester.",real
"Researchers test new battery design","University researchers tested a battery design that stores more energy in laboratory conditions. The team said commercial use would require further safety trials.",real
"Local court issues public statement","A county court released a public statement explaining a recent procedural change. The update affects filing deadlines for civil cases beginning next month.",real
"Farmers market adds inspection rules","The agriculture office added inspection rules for vendors at the weekend farmers market. Officials said the change is intended to improve food safety.",real
"Transit agency adjusts train schedule","The transit agency announced schedule changes after reviewing ridership data. Morning service will increase on two routes while late evening service remains unchanged.",real
"Health officials release flu guidance","Health officials advised residents to get vaccinated and stay home when sick. The guidance follows a seasonal increase in reported flu cases.",real
"Central bank keeps interest rate steady","The central bank kept its benchmark interest rate steady and said inflation has slowed compared with last year. Analysts had expected no major policy shift.",real
"Museum announces restoration grant","The city museum received a restoration grant to preserve historic photographs. Curators said the project will digitize fragile materials for public access.",real
"Miracle fruit cures every disease overnight","Doctors are stunned after a secret fruit was said to cure cancer diabetes and flu overnight. Sources claim hospitals are hiding the discovery from the public.",fake
"Celebrity buys moon and bans tourists","A famous actor reportedly purchased the moon and announced that tourists will be banned forever. Anonymous insiders say world leaders approved the deal in secret.",fake
"Government replaces birds with cameras","A viral post claims the government replaced all birds with surveillance cameras. The article gives no records or named officials but urges readers to share immediately.",fake
"One weird trick makes fuel free","A blog says drivers can make fuel free with one weird trick that oil companies hate. The story offers no engineering evidence and links to a paid newsletter.",fake
"Alien treaty signed under shopping mall","Unverified reports claim an alien treaty was signed under a shopping mall at midnight. Witnesses are unnamed and the photos are unrelated archive images.",fake
"Magic bracelet guarantees exam success","An online advertisement claims a bracelet guarantees perfect exam scores by changing brain waves. Scientists are quoted without names or institutions.",fake
"Mayor secretly moves city to another state","A sensational article says the mayor secretly moved the entire city to another state during the weekend. Public maps and agencies show no such relocation.",fake
"Chocolate tax starts tomorrow nationwide","A social post claims a nationwide chocolate tax starts tomorrow and violators will be arrested. No official law or government notice supports the claim.",fake
"Time traveler predicts stock market exactly","A website says a time traveler predicted every stock price for the next decade. The page asks readers to buy access before the prediction disappears.",fake
"School replaces teachers with robots today","A viral headline says every teacher in the district was replaced by robots today. The district denied the claim and no board meeting records mention it.",fake
"Secret app reveals private thoughts","A promoted article claims a secret phone app can read private thoughts using normal headphones. The story cites no technical documentation or credible testing.",fake
"Ancient pyramid appears downtown overnight","A rumor site claims an ancient pyramid appeared downtown overnight. Local news footage shows normal road repairs at the same location.",fake
